UID,title,authors,abstract,keywords,track,paper_type,pdf_url
srw.58,uBLEU: Uncertainty-Aware Automatic Evaluation Method for Open-Domain Dialogue Systems,Tsuta Yuma|Naoki Yoshinaga|Masashi Toyoda,"Because open-domain dialogues allow diverse responses, basic reference-based metrics such as BLEU do not work well unless we prepare a massive reference set of high-quality responses for input utterances. To reduce this burden, a human-aided, uncertainty-aware metric, ΔBLEU, has been proposed; it embeds human judgment on the quality of reference outputs into the computation of multiple-reference BLEU. In this study, we instead propose a fully automatic, uncertainty-aware evaluation method for open-domain dialogue systems, υBLEU. This method first collects diverse reference responses from massive dialogue data and then annotates their quality judgments by using a neural network trained on automatically collected training data. Experimental results on massive Twitter data confirmed that υBLEU is comparable to ΔBLEU in terms of its correlation with human judgment and that the state of the art automatic evaluation method, RUBER, is improved by integrating υBLEU.",Open-Domain Systems|uBLEU|Uncertainty-Aware Method|ΔBLEU,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.27.pdf
srw.99,Research Replication Prediction Using Weakly Supervised Learning,Tianyi Luo|Xingyu Li|Hainan Wang|Yang Liu,"Knowing whether a published research result can be replicated or not is important. Carrying out direct replication of published research incurs high cost. It is therefore desirable to have a machine learning aided automatic prediction of a result's replicability. Such predictions can provide a confidence score for each article which can further provide guidelines for spot-checks.Since we will only have access to a small size of annotated dataset to train a machine predictor, we explore the possibility of using weakly supervised learning approaches to improve the prediction accuracy of research replication using both labelled and unlabelled datasets based on text information of research papers. Our experiments over real-world datasets show that much better prediction performance can be obtained compared to the supervised models utilizing only a small size of labelled dataset.",Research Prediction|Replication Prediction|automatic prediction|prediction replication,SRW,SRW,
srw.98,AraDIC: Arabic Document Classification Using Image-Based Character Embeddings and Class-Balanced Loss,Mahmoud Daif|Shunsuke Kitada|Hitoshi Iyatomi,"Classical and some deep learning techniques for Arabic text classification often depend on complex morphological analysis, word segmentation, and hand-crafted feature engineering.These could be eliminated by using character-level features.We propose a novel end-to-end Arabic document classification framework, Arabic document image-based classifier (AraDIC), inspired by the work on image-based character embeddings.AraDIC consists of an image-based character encoder and a classifier.They are trained in an end-to-end fashion using the class balanced loss to deal with the long-tailed data distribution problem.To evaluate the effectiveness of AraDIC, we created and published two datasets, the Arabic Wikipedia title (AWT) dataset and the Arabic poetry (AraP) dataset.To the best of our knowledge, this is the first image-based character embedding framework addressing the problem of Arabic text classification. We also present the first deep learning-based text classifier widely evaluated on modern standard Arabic, colloquial Arabic, and Classical Arabic.AraDIC shows performance improvement over classical and deep learning baselines by 12.29% and 23.05% for the micro and macro F-score, respectively.",Arabic Classification|Class-Balanced Loss|word segmentation|long-tailed problem,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.29.pdf
srw.131,Preventing Critical Scoring Errors in Short Answer Scoring with Confidence Estimation,Hiroaki Funayama|Shota Sasaki|Yuichiroh Matsubayashi|Tomoya Mizumoto|Jun Suzuki|Masato Mita|Kentaro Inui,"Many recent Short Answer Scoring (SAS) systems have employed Quadratic Weighted Kappa (QWK) as the evaluation measure of their systems. However, we hypothesize that QWK is unsatisfactory for the evaluation of the SAS systems when we consider measuring their effectiveness in actual usage. We introduce a new task formulation of SAS that matches the actual usage. In our formulation, the SAS systems should extract as many scoring predictions that are not critical scoring errors (CSEs). We conduct the experiments in our new task formulation and demonstrate that a typical SAS system can predict scores with zero CSE for approximately 50% of test data at maximum by ﬁltering out low-reliablility predictions on the basis of a certain conﬁdence estimation. This result directly indicates the possibility of reducing half the scoring cost of human raters, which is more preferable for the evaluation of SAS systems.",Short Scoring|evaluation systems|Confidence Estimation|Short systems,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.32.pdf
srw.28,Compositional Generalization by Factorizing Alignment and Translation,Jacob Russin|Jason Jo|Randall O'Reilly|Yoshua Bengio,"Standard methods in deep learning for natural language processing fail to capture the compositional structure of human language that allows for systematic generalization outside of the training distribution. However, human learners readily generalize in this way, e.g. by applying known grammatical rules to novel words. Inspired by work in cognitive science suggesting a functional distinction between systems for syntactic and semantic processing, we implement a modification to an existing approach in neural machine translation, imposing an analogous separation between alignment and translation. The resulting architecture substantially outperforms standard recurrent networks on the SCAN dataset, a compositional generalization task, without any additional supervision. Our work suggests that learning to align and to translate in separate modules may be a useful heuristic for capturing compositional structure.",Compositional Generalization|Translation|natural processing|cognitive science,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.42.pdf
srw.14,Zero-shot North Korean to English Neural Machine Translation by Character Tokenization and Phoneme Decomposition,Hwichan Kim|Tosho Hirasawa|Mamoru Komachi,"The primary limitation of North Korean to English translation is the lack of a parallel corpus; therefore, high translation accuracy cannot be achieved. To address this problem, we propose a zero-shot approach using South Korean data, which are remarkably similar to North Korean data. We train a neural machine translation model after tokenizing a South Korean text at the character level and decomposing characters into phonemes.We demonstrate that our method can effectively learn North Korean to English translation and improve the BLEU scores by +1.01 points in comparison with the baseline.",English Translation|Character Tokenization|Phoneme Decomposition|zero-shot approach,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.11.pdf
srw.15,Grammatical Error Correction Using Pseudo Learner Corpus Considering Learner's Error Tendency,Yujin Takahashi|Satoru Katsumata|Mamoru Komachi,"Recently, several studies have focused on improving the performance of grammatical error correction (GEC) tasks using pseudo data. However, a large amount of pseudo data are required to train an accurate GEC model. To address the limitations of language and computational resources, we assume that introducing pseudo errors into sentences similar to those written by the language learners is more efficient, rather than incorporating random pseudo errors into monolingual data. In this regard, we study the effect of pseudo data on GEC task performance using two approaches. First, we extract sentences that are similar to the learners' sentences from monolingual data. Second, we generate realistic pseudo errors by considering error types that learners often make. Based on our comparative results, we observe that F0.5 scores for the Russian GEC task are significantly improved.",Grammatical Correction|grammatical tasks|GEC task|Russian task,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.5.pdf
srw.17,Story-level Text Style Transfer: A Proposal,Yusu Qian,"Text style transfer aims to change the style of the input text to the target style while preserving the content to some extent. Previous works on this task are on the sentence level. We aim to work on story-level text style transfer to generate stories that preserve the plot of the input story while exhibiting a strong target style. The challenge in this task compared to previous work is that the structure of the input story, consisting of named entities and their relations with each other, needs to be preserved, and that the generated story needs to be consistent after adding flavors. We plan to explore three methods including the BERT-based method, the Story Realization method, and the Graph-based method.",Story-level Transfer|Text transfer|BERT-based method|Story method,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.2.pdf
srw.16,Adaptive Transformers for Learning Multimodal Representations,Prajjwal Bhargava,"The usage of transformers has grown from learning about language semantics to forming meaningful visiolinguistic representations. These architectures are often over-parametrized, requiring large amounts of computation. In this work, we extend adaptive approaches to learn more about model interpretability and computational efficiency. Specifically, we study attention spans, sparse, and structured dropout methods to help understand how their attention mechanism extends for vision and language tasks. We further show that these approaches can help us learn more about how the network perceives the complexity of input sequences, sparsity preferences for different modalities, and other related phenomena.",Multimodal Representations|vision tasks|Adaptive Transformers|transformers,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.1.pdf
srw.144,Enhancing Word Embeddings with Knowledge Extracted from Lexical Resources,Magdalena Biesialska|Bardia Rafieian|Marta R. Costa-jussà,"In this work, we present an effective method for semantic specialization of word vector representations. To this end, we use traditional word embeddings and apply specialization methods to better capture semantic relations between words. In our approach, we leverage external knowledge from rich lexical resources such as BabelNet. We also show that our proposed post-specialization method based on an adversarial neural network with the Wasserstein distance allows to gain improvements over state-of-the-art methods on two tasks: word similarity and dialog state tracking.",semantic representations|dialog tracking|word embeddings|specialization methods,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.36.pdf
srw.39,RPD: A Distance Function Between Word Embeddings,Xuhui Zhou|Shujian Huang|Zaixiang Zheng,"It is well-understood that different algorithms, training processes, and corpora produce different word embeddings. However, less is known about the relation between different embedding spaces, i.e. how far different sets of em-beddings deviate from each other. In this paper, we propose a novel metric called Relative Pairwise Inner Product Distance (RPD) to quantify the distance between different sets of word embeddings. This unitary-invariant metric has a unified scale for comparing different sets of word embeddings. Based on the properties of RPD, we study the relations of word embeddings of different algorithms systematically and investigate the influence of different training processes and corpora. The results shed light on the poorly understood word embeddings and justify RPD as a measure of the distance of embedding space.",RPD|Word Embeddings|training processes|Relative Distance,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.7.pdf
srw.35,HGCN4MeSH: Hybrid Graph Convolution Network for MeSH Indexing,Miaomiao Yu|Yujiu Yang|Chenhui Li,"Recently deep learning has been used in Medical subject headings (MeSH) indexing to reduce the time and monetary cost by manual annotation, including DeepMeSH, TextCNN, etc. However, these models still suffer from failing to capture the complex correlations between MeSH terms. To this end, we introduce Graph Convolution Network (GCN) to learn the relationship between these terms, and present a novel Hybrid Graph Convolution Net for MeSH index (HGCN4MeSH). Basically, we utilize two BiGRUs to learn the embedding representation of the abstract and the title of the MeSH index text respectively. At the same time, we establish the adjacency matrix of MeSH terms based on the co-occurrence relationships in Corpus, which is easy to apply for GCN representation learning. On the basis of learning the mixed representation, the prediction problem of the MeSH index keywords is transformed into an extreme multi-label classification problem after the attention layer operation. Experimental results on two datasets show that HGCN4MeSH is competitive compared with the state-of-the-art methods.",MeSH Indexing|Medical indexing|manual annotation|prediction problem,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.4.pdf
srw.36,Research on Task Discovery for Transfer Learning in Deep Neural Networks,Arda Akdemir,"Deep neural network based machine learning models are shown to perform poorly on unseen or out-of-domain examples by numerous recent studies. Transfer learning aims to avoid overfitting and to improve generalizability by leveraging the information obtained from multiple tasks. Yet, the benefits of transfer learning depend largely on task selection and finding the right method of sharing. In this thesis, we hypothesize that current deep neural network based transfer learning models do not achieve their fullest potential for various tasks and there are still many task combinations that will benefit from transfer learning that are not considered by the current models. To this end, we started our research by implementing a novel multi-task learner with relaxed annotated data requirements and obtained a performance improvement on two NLP tasks. We will further devise models to tackle tasks from multiple areas of machine learning, such as Bioinformatics and Computer Vision, in addition to NLP.",Task Discovery|Transfer Learning|task selection|NLP tasks,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.6.pdf
srw.22,Non-Topical Coherence in Social Talk: A Call for Dialogue Model Enrichment,Alex Luu|Sophia A. Malamud,"Current models of dialogue mainly focus on utterances within a topically coherent discourse segment, rather than new-topic utterances (NTUs), which begin a new topic not correlating with the content of prior discourse. As a result, these models may sufficiently account for discourse context of task-oriented but not social conversations. We conduct a pilot annotation study of NTUs as a first step towards a model capable of rationalizing conversational coherence in social talk. We start with the naturally occurring social dialogues in the Disco-SPICE corpus, annotated with discourse relations in the Penn Discourse Treebank and Cognitive approach to Coherence Relations frameworks. We first annotate content-based coherence relations that are not available in Disco-SPICE, and then heuristically identify NTUs, which lack a coherence relation to prior discourse. Based on the interaction between NTUs and their discourse context, we construct a classification for NTUs that actually convey certain non-topical coherence in social talk. This classification introduces new sequence-based social intents that traditional taxonomies of speech acts do not capture. The new findings advocates the development of a Bayesian game-theoretic model for social talk.",Dialogue Enrichment|Coherence frameworks|classification|NTUs,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.17.pdf
srw.18,"Media Bias, the Social Sciences, and NLP: Automating Frame Analyses to Identify Bias by Word Choice and Labeling",Felix Hamborg,"Media bias can strongly impact the public perception of topics reported in the news. A difficult to detect, yet powerful form of slanted news coverage is called bias by word choice and labeling (WCL). WCL bias can occur, for example, when journalists refer to the same semantic concept by using different terms that frame the concept differently and consequently may lead to different assessments by readers, such as the terms ""freedom fighters"" and ""terrorists,"" or ""gun rights"" and ""gun control."" In this research project, I aim to devise methods that identify instances of WCL bias and estimate the frames they induce, e.g., not only is ""terrorists"" of negative polarity but also ascribes to aggression and fear. To achieve this, I plan to research methods using natural language processing and deep learning while employing models and using analysis concepts from the social sciences, where researchers have studied media bias for decades. The first results indicate the effectiveness of this interdisciplinary research approach. My vision is to devise a system that helps news readers to become aware of the differences in media coverage caused by bias.",NLP|labeling|natural processing|Frame Analyses,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.12.pdf
srw.19,Unsupervised Paraphasia Classification in Aphasic Speech,Sharan Pai|Nikhil Sachdeva|Prince Sachdeva|Rajiv Ratn Shah,"Aphasia is a speech and language disorder which results from brain damage, often characterized by word retrieval deficit (anomia) resulting in naming errors (paraphasia).Automatic paraphasia detection has many benefits for both treatment and diagnosis of Aphasia and its type. But supervised learning methods cant be properly utilized as there is a lack of aphasic speech data. In this paper, we describe our novel unsupervised method which can be implemented without the need for labeled paraphasia data. Our evaluations show that our method outperforms previous work based on supervised learning and transfer learning approaches for English. We demonstrate the utility of our method as an essential first step in developing augmentative and alternative communication (AAC) devices for patients suffering from aphasia in any language.",Unsupervised Classification|speech disorder|naming detection|treatment,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.3.pdf
srw.114,Inducing Grammar from Long Short-Term Memory Networks by Shapley Decomposition,Yuhui Zhang|Allen Nie,"The principle of compositionality has deep roots in linguistics: the meaning of an expression is determined by its structure and the meanings of its constituents. However, modern neural network models such as long short-term memory network process expressions in a linear fashion and do not seem to incorporate more complex compositional patterns. In this work, we show that we can explicitly induce grammar by tracing the computational process of a long short-term memory network. We show: (i) the multiplicative nature of long short-term memory network allows complex interaction beyond sequential linear combination; (ii) we can generate compositional trees from the network without external linguistic knowledge; (iii) we evaluate the syntactic difference between the generated trees, randomly generated trees and gold reference trees produced by constituency parsers; (iv) we evaluate whether the generated trees contain the rich semantic information.",Inducing Grammar|Long Networks|Shapley Decomposition|neural models,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.40.pdf
srw.128,Efficient Neural Machine Translation for Low-Resource Languages via Exploiting Related Languages,Vikrant Goyal|Sourav Kumar|Dipti Misra Sharma,"A large percentage of the world’s population speaks a language of the Indian subcontinent, comprising languages from both Indo-Aryan (e.g. Hindi, Punjabi, Gujarati, etc.) and Dravidian (e.g. Tamil, Telugu, Malayalam, etc.) families. A universal characteristic of Indian languages is their complex morphology, which, when combined with the general lack of sufficient quantities of high-quality parallel data, can make developing machine translation (MT) systems for these languages difficult. Neural Machine Translation (NMT) is a rapidly advancing MT paradigm and has shown promising results for many language pairs, especially in large training data scenarios. Since the condition of large parallel corpora is not met for Indian-English language pairs, we present our efforts towards building efficient NMT systems between Indian languages (specifically Indo-Aryan languages) and English via efficiently exploiting parallel data from the related languages. We propose a technique called Unified Transliteration and Subword Segmentation to leverage language similarity while exploiting parallel data from related language pairs. We also propose a Multilingual Transfer Learning technique to leverage parallel data from multiple related languages to assist translation for low resource language pair of interest. Our experiments demonstrate an overall average improvement of 5 BLEU points over the standard Transformer-based NMT baselines.",Neural Translation|machine systems|translation|NMT,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.22.pdf
srw.95,Cross-Lingual Disaster-related Multi-label Tweet Classification with Manifold Mixup,Jishnu Ray Chowdhury|Cornelia Caragea|Doina Caragea,"Distinguishing informative and actionable messages from a social media platform like Twitter is critical for facilitating disaster management. For this purpose, we compile a multilingual dataset of over 130K samples for multi-label classification of disaster-related tweets. We present a masking-based loss function for partially labelled samples and demonstrate the effectiveness of Manifold Mixup in the text domain. Our main model is based on Multilingual BERT, which we further improve with Manifold Mixup. We show that our model generalizes to unseen disasters in the test set. Furthermore, we analyze the capability of our model for zero-shot generalization to new languages. Our code, dataset, and other resources are available on Github.",Cross-Lingual Classification|Distinguishing messages|disaster management|multi-label tweets,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.39.pdf
srw.42,Exploring Interpretability in Event Extraction: Multitask Learning of a Neural Event Classifier and an Explanation Decoder,Zheng Tang|Gus Hahn-Powell|Mihai Surdeanu,"We propose an interpretable approach for event extraction that mitigates the tension between generalization and interpretability by jointly training for the two goals. Our approach uses an encoder-decoder architecture, which jointly trains a classifier for event extraction, and a rule decoder that generates syntactico-semantic rules that explain the decisions of the event classifier. We evaluate the proposed approach on three biomedical events and show that the decoder generates interpretable rules that serve as accurate explanations for the event classifier's decisions, and, importantly, that the joint training generally improves the performance of the event classifier. Lastly, we show that our approach can be used for semi-supervised learning, and that its performance improves when trained on automatically-labeled data generated by a rule-based system.",Interpretability Extraction|Event Extraction|semi-supervised learning|Multitask Learning,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.23.pdf
srw.129,Building a Japanese Typo Dataset from Wikipedia's Revision History,Yu Tanaka|Yugo Murawaki|Daisuke Kawahara|Sadao Kurohashi,"User generated texts contain many typos for which correction is necessary for NLP systems to work. Although a large number of typo–correction pairs are needed to develop a data-driven typo correction system, no such dataset is available for Japanese. In this paper, we extract over half a million Japanese typo–correction pairs from Wikipedia’s revision history. Unlike other languages, Japanese poses unique challenges: (1) Japanese texts are unsegmented so that we cannot simply apply a spelling checker, and (2) the way people inputting kanji logographs results in typos with drastically different surface forms from correct ones. We address them by combining character-based extraction rules, morphological analyzers to guess readings, and various filtering methods. We evaluate the dataset using crowdsourcing and run a baseline seq2seq model for typo correction.",NLP systems|typo correction|data-driven system|spelling checker,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.31.pdf
srw.115,Self-Attention is Not Only a Weight: Analyzing BERT with Vector Norms,Goro Kobayashi|Tatsuki Kuribayashi|Sho Yokoi|Kentaro Inui,"Self-attention modules are essential building blocks of Transformer-based language models and hence are the subject of a large number of studies aiming to discover which linguistic capabilities these models possess (Rogers et al., 2020). Such studies are commonly conducted by analyzing correlations of attention weights with specific linguistic phenomena. In this paper, we show that attention weights alone are only one of two factors determining the output of self-attention modules and propose to incorporate the other factor, namely the norm of the transformed input vectors, into the analysis, as well. Our analysis of self-attention modules in BERT (Devlin et al., 2019) shows that the proposed method produces insights that better agree with linguistic intuitions than an analysis based on attention-weights alone. Our analysis further reveals that BERT controls the amount of the contribution from frequent informative and less informative tokens not by attention weights but via vector norms.",BERT|Self-attention modules|Transformer-based models|output modules,SRW,SRW,
srw.9,Combining Subword Representations into Word-level Representations in the Transformer Architecture,Noe Casas|Marta R. Costa-jussà|José A. R. Fonollosa,"In Neural Machine Translation, using word-level tokens leads to degradation in translation quality. The dominant approaches use subword-level tokens, but this increases the length of the sequences and makes it difficult to profit from word-level information such as POS tags or semantic dependencies.We propose a modification to the Transformer model to combine subword-level representations into word-level ones in the first layers of the encoder, reducing the effective length of the sequences in the following layers and providing a natural point to incorporate extra word-level information.Our experiments show that this approach maintains the translation quality with respect to the normal Transformer model when no extra word-level information is injected and that it is superior to the currently dominant method for incorporating word-level source language information to models based on subword-level vocabularies.",Neural Translation|Subword Representations|Word-level Representations|Transformer Architecture,SRW,SRW,https://www.aclweb.org/anthology/2020.acl-srw.10.pdf
