workshop,UID,title,authors,presentation_id
WS-11,WS-11.14,A dataset and metric to evaluate lexical extraction from parallel corpora,Barend Beekhuizen,38939805
WS-11,WS-11.1409,SimAlign: High Quality Word Alignments without Parallel Training Data using Static and Contextualized Embeddings,Philipp Dufter|Masoud Jalili Sabet|‪François Yvon|‪Hinrich Schütze‬,38940631
WS-11,WS-11.16,The role of community size and network structure in shaping linguistic diversity: experimental evidence,Limor Raviv|Antje Meyer|Shiri Lev-Ari,38939806
WS-11,WS-11.17,NUIG: Multitasking Self-attention based approach to SigTyp 2020 Shared Task,Chinmay Choudhary|Colm O’Riordan,38939794
WS-11,WS-11.18,KMI-Panlingua-IITKGP @SIGTYP2020: Exploring Rules and Hybrid Systems for Automatic Prediction of Typological Features,Ritesh Kumar|Deepak Alok|Akanksha Bansal|Bornini Lahiri|Atul Kr. Ojha,38939795
WS-11,WS-11.2,Information from Topic Contexts: The Prediction of Aspectual Coding of Verbs in Russian,Michael Richter|Tariq Yousef,38939796
WS-11,WS-11.3,Uncovering Typological Context-Sensitive Features,Chiara Alzetta|Felice Dell’Orletta|Simonetta Montemagni|Giulia Venturi,38939797
WS-11,WS-11.4,NEMO: Frequentist Inference Approach to Constrained Linguistic Typology Feature Prediction in SIGTYP 2020 Shared Task,Alexander Gutkin|Richard Sproat,38939791
WS-11,WS-11.5,Towards Induction of Structured Phoneme Inventories,Alexander Gutkin|Martin Jansche|Lucy Skidmore,38939798
WS-11,WS-11.6,Is Typology-Based Adaptation Effective for Multilingual Sequence Labelling?,Ahmet Üstün|Arianna Bisazza|Gosse Bouma|Gertjan Van Noord,38939799
WS-11,WS-11.7,Predicting Typological Features inWALS using Language Embeddings and Conditional Probabilities: ÚFAL Submission to the SIGTYP 2020 Shared Task,Martin Vastl|Daniel Zeman|Rudolf Rosa,38939792
WS-11,WS-11.8,SNACS Annotation of Case Markers and Adpositions in Hindi,Aryaman Arora|Nathan Schneider,38939800
WS-11,WS-11.816,Cross-lingual Alignment Methods for Multilingual BERT: A Comparative Study,Saurabh Kulshreshtha|‪José Luis Redondo García|Ching-Yun Chang,38940629
WS-11,WS-11.9,Multilingual Jointly Trained Acoustic and Written Word Embeddings,Yushi Hu|Shane Settle|Karen Livescu,38939801
WS-12,WS-12.1,Dilated Convolutional Attention Network for Medical Code Assignment from Clinical Text,Shaoxiong Ji|Erik Cambria|Pekka Marttinen,38939807
WS-12,WS-12.10,Information Extraction from Swedish Medical Prescriptions with Sig-Transformer Encoder,John Pougué Biyong|Bo Wang|Terry Lyons|Alejo Nevado-Holgado,38939813
WS-12,WS-12.1041,Learning to Generate Clinically Coherent Chest X-Ray Reports,Justin Lovelace|Bobak Mortazavi,38940177
WS-12,WS-12.11,How You Ask Matters: The Effect of Paraphrastic Questions to BERT Performance on a Clinical SQuAD Dataset,Sungrim,38939814
WS-12,WS-12.12,Multiple Sclerosis Severity Classification From Clinical Text,Alister D'Costa|Stefan Denkovski|Michal Malyska|Sae Young Moon|Brandon Rufino|Zhen Yang|Taylor Killian|Marzyeh Ghassemi,38939815
WS-12,WS-12.13,An Ensemble Approach to Automatic Structuring of Radiology Reports,Morteza Pourreza Shahri|Amir Tahmasebi|Bingyang Ye|Henghui Zhu|Javed Aslam|Timothy Ferris,38939816
WS-12,WS-12.15,Various Levels of Representation for Predicting Stroke Prognosis using Text Records of Magnetic Resonance Imaging,Tak-Sung Heo|Chulho Kim|Jeong-Myeong Choi|Yeong-Seok Jeong|Yu-Seop Kim,38939817
WS-12,WS-12.16,Relative and Incomplete Time Expression Anchoring for Clinical Text,Louise Dupuis|Nicol Bergou|Hegler Tissot|Sumithra Velupillai,38939818
WS-12,WS-12.1640,Learning Visual-Semantic Embeddings for Reporting Abnormal Findings on Chest X-rays,Jianmo Ni|Chun-Nan Hsu|Amilcare Gentili|Julian McAuley,38940178
WS-12,WS-12.17,MeDAL: Medical Abbreviation Disambiguation Dataset for Natural Language Understanding Pretraining,Zhi Wen|Xing Han Lu|Siva Reddy,38939819
WS-12,WS-12.1713,Characterizing the Value of Information in Medical Notes,Chao-Chun Hsu|Shantanu Karnwal|Sendhil Mullainathan|Ziad Obermeyer|Chenhao Tan,38940179
WS-12,WS-12.18,Evaluation of Transfer Learning for Adverse Drug Event (ADE) and Medication Entity Extraction,Sankaran Narayanan|Kaivalya Mannam|Sreeranga P Rajan|P Venkat Rangan,38939820
WS-12,WS-12.19,Knowledge Grounded Conversational Symptom Detection\\ with Graph Memory Networks,Hongyin Luo|Shang-Wen Li|James Glass,38939821
WS-12,WS-12.20,Pretrained Language Models for Biomedical and Clinical Tasks: Understanding and Extending the State-of-the-Art,Patrick Lewis|Myle Ott|Jingfei Du|Veselin Stoyanov,38939822
WS-12,WS-12.21,Incorporating Risk Factor Embeddings in Pre-trained Transformers Improves Sentiment Prediction in Psychiatric Discharge Summaries,Xiyu Ding|Mei-Hua Hall|Timothy Miller,38939823
WS-12,WS-12.2127,PharmMT: A Neural Machine Translation Approach to Simplify Prescription Directions,Jiazhao Li|Corey Lester|Xinyan Zhao|Yuting Ding|Yun Jiang|V.G.Vinod Vydiswaran,38940180
WS-12,WS-12.23,Assessment of DistilBERT performance on Named Entity Recognition task for the detection of Protected Health Information and medical concepts,Macarious Abadeer,38939824
WS-12,WS-12.25,Distinguishing between Dementia with Lewy bodies (DLB) and Alzheimer's Disease (AD) using Mental Health Records: a Classification Approach,Zixu Wang|Julia Ive|Sinead Moylett|Christoph Mueller|Rudolf Cardinal|Sumithra Velupillai|John O'Brien|Robert Stewart,38939825
WS-12,WS-12.2509,A Dual-Attention Network for Joint Named Entity Recognition and Sentence Classification of Adverse Drug Events,Susmitha Wunnava|Xiao Qin|Tabassum Kakar|Xiangnan Kong|Elke A. Rundensteiner,38940181
WS-12,WS-12.26,Weakly Supervised Medication Regimen Extraction from Medical Conversations,Dhruvesh Patel|Sandeep Konam|Sai Prabhakar,38939826
WS-12,WS-12.27,Extracting Relations between Radiotherapy Treatment Details,Danielle Bitterman|Timothy Miller|David Harris|Chen Lin|Sean Finan|Jeremy Warner|Raymond Mak|Guergana Savova,38939827
WS-12,WS-12.2801,Dr. Summarize: Global Summarization of Medical Dialogue by Exploiting Local Structures,Anirudh Joshi|Namit Katariya|Xavier Amatriain|Anitha Kannan,38940182
WS-12,WS-12.2804,Generating Accurate Electronic Health Assessment from Medical Graph,Zhichao Yang|Hong Yu,38940183
WS-12,WS-12.29,The Chilean Waiting List Corpus: a new resource for clinical Named Entity Recognition in Spanish,Pablo Báez|Fabián Villena|Matías Rojas|Manuel Durán|Jocelyn Dunstan,38939828
WS-12,WS-12.3,Classification of Syncope Cases in Norwegian Medical Records,Ildiko Pilan|Pål H. Brekke|Fredrik A. Dahl|Tore Gundersen|Haldor Husby|Øystein Nytrø|Lilja Øvrelid,38939808
WS-12,WS-12.30,BioBERTpt - A Portuguese Neural Language Model for Clinical Named Entity Recognition,Elisa Terumi Rubel Schneider|João Vitor Andrioli De Souza|Julien Knafou|Lucas Emanuel Silva E Oliveira|Jenny Copara|Yohan Bonescki Gumiel|Lucas Ferro Antunes De Oliveira|Emerson Cabrera Paraiso|Douglas Teodoro|Cláudia Maria Cabral Moro Barra,38939829
WS-12,WS-12.31,Cancer Registry Information Extraction via Transfer Learning,Yan-Jie Lin|Hong-Jie Dai|You-Chen Zhang|Chung-Yang Wu|Yu-Cheng Chang|Pin-Jou Lu|Chih-Jen Huang|Yu-Tsang Wang|Hui-Min Hsieh|Kun-San Chao|Tsang-Wu Liu|I-Shou Chang|Yi-Hsin Connie Yang|Ti-Hao Wang|Ko-Jiunn Liu|Li-Tzong Chen|Sheau-Fang Yang,38939830
WS-12,WS-12.33,Utilizing Multimodal Feature Consistency to Detect Adversarial Examples on Clinical Summaries,Wenjie Wang|Youngja Park|Taesung Lee|Ian Molloy|Pengfei Tang|Li Xiong,38939831
WS-12,WS-12.37,PHICON: Improving Generalization of Clinical Text De-identification Models via Data Augmentation,Xiang Yue|Shuang Zhou,38939832
WS-12,WS-12.38,Where's the Question? A Multi-channel Deep Convolutional Neural Network for Question Identification in Textual Data,George Michalopoulos|Helen Chen|Alexander Wong,38939833
WS-12,WS-12.39,Advancing Seq2seq with Joint Paraphrase Learning,So Yeon Min|Preethi Raghavan|Peter Szolovits,38939834
WS-12,WS-12.4,Comparison of Machine Learning Methods for Multi-label Classificationof Nursing Education and Licensure Exam Questions,John Langton|Krishna Srihasam|Junlin Jiang,38939809
WS-12,WS-12.40,Learning from Unlabelled Data for Clinical Semantic Textual Similarity,Yuxia Wang|Karin Verspoor|Timothy Baldwin,38939835
WS-12,WS-12.43,BERT-XML: Large Scale Automated ICD Coding Using BERTPretraining,Zachariah Zhang|Jingshu Liu|Narges Razavian,38939836
WS-12,WS-12.44,Joint Learning with Pre-trained Transformer on Named Entity Recognition and Relation Extraction Tasks for Clinical Analytics,Miao Chen|Ganhui Lan|Fang Du|Victor Lobanov,38939837
WS-12,WS-12.48,Analyzing Text Specific vs Blackbox Fairness Algorithms in Multimodal Clinical NLP,John Chen|Ian Berlot-Attwell|Xindi Wang|Safwan Hossain|Frank Rudzicz,38939838
WS-12,WS-12.49,Extracting Semantic Aspects for Structured Representation of Clinical Trial Eligibility Criteria,Tirthankar Dasgupta|Ishani Mondal|Abir Naskar|Lipika Dey,38939839
WS-12,WS-12.6,Clinical XLNet: Modeling Sequential Clinical Notes and Predicting Prolonged Mechanical Ventilation,Kexin Huang|Abhishek Singh|Sitong Chen|Edward Moseley|Chih-Ying Deng|Naomi George|Charolotta Lindvall,38939810
WS-12,WS-12.7,Automatic recognition of abdominal lymph nodes from clinical text,Yifan Peng|Sungwon Lee|Daniel C. Elton|Thomas Shen|Yu-xing Tang|Qingyu Chen|Shuai Wang|Yingying Zhu|Ronald Summers|Zhiyong Lu,38939811
WS-12,WS-12.8,On the diminishing return of labeling clinical reports,Jean-Baptiste Lamare|Oloruntobiloba Olatunji|Li Yao,38939812
WS-12,WS-12.KEY,Keynote 3rd Clinical Natural Language Processing Workshop,Hong Yu,38939840
WS-13,WS-13.1,Correcting the Misuse: A Method for the Chinese Idiom Cloze Test,Xinyu Wang|Hongsheng Zhao|Tan Yang|Hongbo Wang,38939724
WS-13,WS-13.1008,AutoETER: Automated Entity Type Representation for Knowledge Graph Embedding,Yongfei Zhang,38940167
WS-13,WS-13.1039,Dynamic Semantic Matching and Aggregation Network for Few-shot Intent Detection,Hoang Nguyen,38940168
WS-13,WS-13.1059,Biomedical Event Extraction on Graph Edge-conditioned Attention Networks with Hierarchical Knowledge Graphs,Kung-Hsiang Huang,38940169
WS-13,WS-13.12,Entity Attribute Relation Extraction with Attribute-Aware Embeddings,Dan Iter|Xiao Yu|Fangtao Li,38939729
WS-13,WS-13.1524,Continual Learning Long Short Term Memory,Xiaolong Wang,38940170
WS-13,WS-13.16,Enhancing Question Answering by Injecting Ontological Knowledgethrough Regularization,Travis Goodwin|Dina Demner-Fushman,38939730
WS-13,WS-13.17,Target Concept Guided Medical Concept Normalization in Noisy User-Generated Texts,Katikapalli Subramanyam Kalyan|Sivanesan Sangeetha,38939731
WS-13,WS-13.18,Incorporating Commonsense Knowledge Graph in Pretrained Models for Social Commonsense Tasks,Ting-Yun Chang|Yang Liu|Karthik Gopalakrishnan|Behnam Hedayatnia|Pei Zhou|Dilek Hakkani-Tur,38939732
WS-13,WS-13.20,Commonsense Statements Identification and Explanation with Transformer based Encoders,Sonia Cibu|Anca Marginean,38939733
WS-13,WS-13.2047,Out-of-Sample Representation Learning for Knowledge Graphs,Marjan Albooyeh,38940171
WS-13,WS-13.2085,Visual Objects As Context: Exploiting Visual Objects for Lexical Entailment,Masayasu Muraoka,38940172
WS-13,WS-13.22,"On the Complementary Nature of Knowledge Graph Embedding, Fine Grain Entity Types, and Language Modeling",Rajat Patel|Francis Ferraro,38939734
WS-13,WS-13.2513,BERT-kNN: Adding a kNN Search Component to Pretrained Language Models for Better QA,Nora Kassner,38940173
WS-13,WS-13.2666,Cross-Lingual Text Classification with Minimal Resources by Transferring a Sparse Teacher,Giannis Karamanolakis,38940174
WS-13,WS-13.4,Relation Extraction with Contextualized Relation Embedding,Xiaoyu Chen|Rohan Badlani,38939725
WS-13,WS-13.6,Generalization to Mitigate Synonym Substitution Attacks,Basemah Alshemali|Jugal Kalita,38939726
WS-13,WS-13.696,E-BERT: Efficient-Yet-Effective Entity Embeddings for BERT,Nina Poerner,38940166
WS-13,WS-13.7,Data Augmentation for Finetuning Text Generators,Steven Y. Feng|Varun Gangal|Dongyeop Kang|Teruko Mitamura|Eduard Hovy,38939727
WS-13,WS-13.9,Common Sense or World Knowledge? Investigating Adapter-Based Knowledge Injection into Pretrained Transformers,Anne Lauscher|Olga Majewska|Leonardo F. R. Ribeiro|Iryna Gurevych|Nikolai Rozanov|Goran Glavaš,38939728
WS-13,WS-13.WS13_Keynote1,Keynote talk by Eduard Hovy,Eduard Hovy,38940164
WS-13,WS-13.WS13_Keynote2,You can lead a horse to water...: Representing vs. Using Features in Neural NLP,Ellie Pavlick,38940165
WS-15,WS-15.1,Knowing Right from Wrong: Should We Use More Complex Models for Automatic Short-Answer Scoring in Bahasa Indonesia?,Ali Akbar Septiandri|Yosef Ardhito Winatmoko|Ilham Firdausi Putra,38939419
WS-11,WS-11.1093,"Parsing with Multilingual BERT, a Small Corpus, and a Small Treebank",Ethan C. Chau,38940125
WS-15,WS-15.1098,OptSLA: an Optimization-Based Approach for Sequential Label Aggregation,Qi Li,38940107
WS-15,WS-15.12,Exploring the Boundaries of Low-Resource BERT Distillation,Moshe Wasserblat|Oren Pereg|Peter Izsak,38939426
WS-15,WS-15.1286,Inexpensive Domain Adaptation of Pretrained Language Models: Case Studies on Biomedical NER and Covid-19 QA,Nina Poerner,38940121
WS-15,WS-15.13,Efficient Estimation of Influence of a Training Instance,Sosuke Kobayashi|Sho Yokoi|Jun Suzuki|Kentaro Inui,38939427
